address,symbol,price_usd,liquidity_usd,volume_usd_24h,collected_at
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,634.5115159518888,4333546142.911189,4961482468.029478,2026-04-21T12:14:11.374051
0x55d398326f99059ff775485246999027b3197955,USDT,1.000257507789219,617607886.8983622,1596952346.753015,2026-04-21T12:14:12.482707
0xf859bf77cbe8699013d6dbc7c2b926aaf307f830,BRY,0.0108124940752123,167058566786614.28,470865441.46783143,2026-04-21T12:14:13.570404
0x7c1608c004f20c3520f70b924e2bfef092da0043,CZF,3.4020961459016346,78286936784489.0,470865441.6206814,2026-04-21T12:14:14.533339
0x4fa7c69a7b69f8bc48233024d546bc299d6b03bf,quq,0.0020570966407184653,1341841.5509130808,446909979.85075665,2026-04-21T12:14:15.539415
0x95a437e44b8e3db7eed827aefc296b81f2ee21ae,OPG,0.016726649082952953,524991.5066948736,296699184.6693633,2026-04-21T12:14:16.683456
0xb865b05842cc27abed01858a5da33daf7c76d87b,OPG,0.08333929095770576,41593249315894.69,88275676.66781072,2026-04-21T12:14:17.876241
0xec54ec99cfc535f5923968fc8e692554b56f4444,RAVE,6.699052841869649e-05,49674.54813499392,82859264.61375335,2026-04-21T12:14:19.055563
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,0.9998505968521051,55115767.300427236,78983896.36603205,2026-04-21T12:14:20.066315
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,76371.999224333,38567859.60828816,62597761.18522583,2026-04-21T12:14:21.183322
0x89a2cbb534eada229c1ea7ba9de488c047673ca3,PUNK,0.037659812169960234,30595.433963870415,40563271.055946246,2026-04-21T12:14:22.173172
0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,2319.0947497712073,26066624.98742837,34709216.684565,2026-04-21T12:14:23.210943
0x7c8217517ed4711fe2deccdfeffe8d906b9ae11f,BLESS,0.006320906250678181,289773.74884693406,20246873.917646404,2026-04-21T12:14:24.310576
0xe6df05ce8c8301223373cf5b969afcb1498c5528,KOGE,38.614754180194915,5334203.527697945,25283581.403582543,2026-04-21T12:14:25.454504
0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,USD1,0.9998189808812152,10668525.443276828,15363508.399998778,2026-04-21T12:14:26.566718
0xd9c78b6d7a57f1a33b7debc0eff4a1acb660ef85,Google,0.0015904014127397419,46040.41439809966,10616233.440804752,2026-04-21T12:14:27.632738
0xaed5cb15a762ef6a458ed9eed85ce87527668295,MARS,3.2678651793835273e-07,166.10877715805282,9999590.775793938,2026-04-21T12:14:28.690149
0x9123400446a56176eb1b6be9ee5cf703e409f492,TRADOOR,8.254954925341465,1328255.2673071432,9886040.04366754,2026-04-21T12:14:29.647500
0x97693439ea2f0ecdeb9135881e49f354656a911c,RAVE,1.6836848085884095,673211.268605224,8591564.789481051,2026-04-21T12:14:30.785913
0x5d3a12c42e5372b2cc3264ab3cdcf660a1555238,ARIA,0.0793727999015996,453456.3296010391,7823006.022114331,2026-04-21T12:14:31.581139
0x1d28d989f9e3ccb8b15d0cec601734514f958e4d,BASED,0.12780053049432336,188498.1144472973,7979311.847447275,2026-04-21T12:14:32.613907
0x924fa68a0fc644485b8df8abfa0a41c2e7744444,币安人生,0.5124124313563444,4062039.89331711,7335490.3647130765,2026-04-21T12:14:33.705139
0xe0a281deff5c9d8d67af09d39340e134ac81b82e,wkeyDAO2,2.300940074342417,19799119.947941333,7083852.695387181,2026-04-21T12:14:34.723915
0x2aa89a0113bcbbcdc5812c6df794e2d9650fc1af,STRIKE,0.03450372848598653,153014.02975408934,7847232.849649425,2026-04-21T12:14:35.734140
0xcae117ca6bc8a341d2e7207f30e180f0e5618b9d,ARK,13.828321141501277,38675186.85176218,6701463.251719437,2026-04-21T12:14:36.928705
0x92aa03137385f18539301349dcfc9ebc923ffb10,SKYAI,0.16292855747282076,4228320.29424907,9757181.328136615,2026-04-21T12:14:37.974023
0x0e4f6209ed984b21edea43ace6e09559ed051d48,ON,0.14126108007610544,487096.45631842676,5922076.393347743,2026-04-21T12:14:38.965351
0xac23b90a79504865d52b49b327328411a23d4db2,FF,0.07518690431828097,954575.1928320248,5773370.555503544,2026-04-21T12:14:39.912006
0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37,BAS,0.010995074245220011,651202.2826565251,4838142.384386542,2026-04-21T12:14:40.942430
0xe1ed729ead2f59dbf643e011b606335f03fc5606,TFI,3.263894328432914,5893734.752941465,4080056.613820323,2026-04-21T12:14:42.011984
